id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,1691570,JIWA,2013
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,1583220,JIWA,2013
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,968159,JIWA,2013
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,919240,JIWA,2013
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,883363,JIWA,2013
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,827129,JIWA,2013
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,1309630,JIWA,2013
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,1242010,JIWA,2013
9,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,856116,JIWA,2013
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,820086,JIWA,2013
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,633517,JIWA,2013
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,615757,JIWA,2013
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,569987,JIWA,2013
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,570261,JIWA,2013
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,418234,JIWA,2013
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,400133,JIWA,2013
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,816674,JIWA,2013
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,774091,JIWA,2013
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,463590,JIWA,2013
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,457285,JIWA,2013
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,400198,JIWA,2013
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,392439,JIWA,2013
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,725863,JIWA,2013
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,724143,JIWA,2013
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,624324,JIWA,2013
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,620150,JIWA,2013
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,317241,JIWA,2013
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,308206,JIWA,2013
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,793611,JIWA,2013
