id,kode_provinsi,nama_provinsi,jenis_kelamin,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,LAKI-LAKI,11739481,ORANG,2011
2,32,JAWA BARAT,PEREMPUAN,5715300,ORANG,2011
3,32,JAWA BARAT,LAKI-LAKI,12174176,ORANG,2012
4,32,JAWA BARAT,PEREMPUAN,6146932,ORANG,2012
5,32,JAWA BARAT,LAKI-LAKI,12635203,ORANG,2013
6,32,JAWA BARAT,PEREMPUAN,6096740,ORANG,2013
7,32,JAWA BARAT,LAKI-LAKI,12871114,ORANG,2014
8,32,JAWA BARAT,PEREMPUAN,6359829,ORANG,2014
9,32,JAWA BARAT,LAKI-LAKI,12865217,ORANG,2015
10,32,JAWA BARAT,PEREMPUAN,5926265,ORANG,2015
11,32,JAWA BARAT,LAKI-LAKI,12816484,ORANG,2016
12,32,JAWA BARAT,PEREMPUAN,6385554,ORANG,2016
13,32,JAWA BARAT,LAKI-LAKI,13531806,ORANG,2017
14,32,JAWA BARAT,PEREMPUAN,7019769,ORANG,2017
15,32,JAWA BARAT,LAKI-LAKI,13888195,ORANG,2018
16,32,JAWA BARAT,PEREMPUAN,6891693,ORANG,2018
17,32,JAWA BARAT,LAKI-LAKI,14164530,ORANG,2019
18,32,JAWA BARAT,PEREMPUAN,7738428,ORANG,2019
19,32,JAWA BARAT,LAKI-LAKI,13829693,ORANG,2020
20,32,JAWA BARAT,PEREMPUAN,7845161,ORANG,2020
21,32,JAWA BARAT,LAKI-LAKI,14124533,ORANG,2021
22,32,JAWA BARAT,PEREMPUAN,8188948,ORANG,2021
23,32,JAWA BARAT,LAKI-LAKI,14988897,ORANG,2022
24,32,JAWA BARAT,PEREMPUAN,8463671,ORANG,2022
25,32,JAWA BARAT,LAKI-LAKI,15002800,ORANG,2023
26,32,JAWA BARAT,PEREMPUAN,8500798,ORANG,2023
