id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,SD KE BAWAH,90529.0,ORANG,2011
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SLTP,38379.0,ORANG,2011
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,SLTA,93730.0,ORANG,2011
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SD KE BAWAH,33242.0,ORANG,2011
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SLTP,28191.0,ORANG,2011
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SLTA,35401.0,ORANG,2011
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SD KE BAWAH,50647.0,ORANG,2011
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SLTP,27178.0,ORANG,2011
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SLTA,19675.0,ORANG,2011
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SD KE BAWAH,50460.0,ORANG,2011
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SLTP,51548.0,ORANG,2011
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SLTA,43157.0,ORANG,2011
13,32,JAWA BARAT,3205,KABUPATEN GARUT,SD KE BAWAH,23675.0,ORANG,2011
14,32,JAWA BARAT,3205,KABUPATEN GARUT,SLTP,28330.0,ORANG,2011
15,32,JAWA BARAT,3205,KABUPATEN GARUT,SLTA,36367.0,ORANG,2011
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SD KE BAWAH,14865.0,ORANG,2011
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SLTP,20417.0,ORANG,2011
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SLTA,25921.0,ORANG,2011
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SD KE BAWAH,30137.0,ORANG,2011
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SLTP,17695.0,ORANG,2011
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SLTA,15189.0,ORANG,2011
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SD KE BAWAH,14355.0,ORANG,2011
